Galaxy ID,Time Since Last Major Merger [Gyr],Number of Major Mergers,Numbber of Minor Mergers
31458,13.8,0,1
31460,12.62066479053492,2,2
31461,11.56482052958491,3,0
31463,12.698000090258518,4,1
31464,12.804875891454154,1,4
31466,12.977660855576495,1,0
31473,12.62066479053492,6,1
31476,11.766835879457043,4,6
31481,12.031032769266922,6,0
31485,13.8,0,4
31490,12.361172370658442,3,1
31491,10.555201291724902,2,2
31499,10.228946019806829,4,0
31501,12.977660855576495,2,3
31505,11.903627662592406,3,3
31510,13.056632387368863,4,2
31514,13.8,0,0
31516,7.950232596370229,2,1
31519,12.698000090258518,3,2
31523,13.8,0,0
31524,13.8,0,0
31530,11.317040961531216,5,3
31531,13.8,0,0
31533,13.8,0,0
31535,12.259335340432736,3,7
31540,10.555201291724902,5,2
31561,13.8,0,0
31562,13.8,0,2
41582,8.06560019250075,7,9
41583,0.40814160124130494,4,5
41584,2.7403023795756303,5,7
41585,10.083061130481992,4,4
41586,0.6709845706668234,13,15
41587,5.410432554332628,6,4
41588,9.017171205041503,6,6
41589,12.361172370658442,3,1
41590,13.198853574391512,1,8
41591,8.356294756117382,3,5
41592,8.21393431111962,10,6
41593,11.766835879457043,1,7
41594,8.841999739310916,7,10
41595,10.083061130481992,1,0
41596,12.804875891454154,3,2
41597,10.860805387276075,3,6
41598,6.343349487178175,9,3
41599,6.673014217597259,5,4
41600,2.7403023795756303,3,4
41601,9.389280682850277,4,1
41602,11.164723670049518,4,3
41603,10.083061130481992,4,1
41604,13.8,0,3
41605,6.98087446663476,6,4
41606,12.698000090258518,2,1
41607,11.766835879457043,8,5
41608,12.62066479053492,3,4
41609,12.445128288561726,8,2
41610,10.860805387276075,2,5
41611,13.010124756583883,1,4
41612,5.410432554332628,2,2
41613,6.829554589521826,4,1
41614,3.9566148760250575,3,3
41615,7.5813644077819715,3,3
41616,4.61076233003753,3,2
41617,7.5813644077819715,15,4
41618,13.8,0,2
41619,6.2282824636046845,9,6
41620,12.77131608967524,2,4
41621,13.8,0,2
41622,13.104017017822397,2,0
41623,11.56482052958491,4,1
41624,11.007950132808553,4,3
41625,11.007950132808553,6,7
41626,11.164723670049518,5,2
41627,7.314853196564868,4,3
41628,13.056632387368863,3,3
41629,11.903627662592406,7,2
41630,11.164723670049518,3,3
41631,13.198853574391512,2,3
41632,9.92715903124954,2,2
41633,13.27352288733255,2,3
41634,12.77131608967524,4,4
41635,12.698000090258518,4,0
41636,12.62066479053492,3,3
41637,12.698000090258518,1,4
41638,10.555201291724902,5,2
41639,10.555201291724902,5,4
41640,7.450283783623472,3,0
41641,12.698000090258518,1,4
41642,12.977660855576495,2,2
41643,13.8,0,5
41644,12.259335340432736,2,2
41645,10.860805387276075,1,3
41646,13.27352288733255,1,3
41648,12.182845139342968,1,4
41649,13.8,0,3
41650,5.060286141005806,3,2
41651,9.462953435380172,4,2
41652,5.61056555205565,7,3
41653,2.7403023795756303,3,2
41654,13.8,0,2
41655,11.766835879457043,5,1
41656,13.8,0,4
41657,10.398502407966777,2,0
41658,13.8,0,0
41659,12.182845139342968,5,2
41660,13.27352288733255,1,3
41663,9.78178393942305,4,1
41664,12.804875891454154,2,1
41665,11.903627662592406,3,5
41666,11.164723670049518,2,4
41668,12.804875891454154,4,3
41669,12.894981355405132,2,3
41672,9.78178393942305,2,3
41673,6.673014217597259,3,4
41674,9.462953435380172,5,3
41675,11.903627662592406,2,2
41676,9.78178393942305,4,1
41677,9.155686374365665,6,2
41678,8.688041270237905,4,2
41681,10.398502407966777,1,3
41683,12.445128288561726,3,1
41684,12.804875891454154,4,2
41686,11.317040961531216,3,1
41687,13.198853574391512,1,1
41688,12.55480493374341,5,1
41691,12.804875891454154,3,3
41692,11.903627662592406,3,0
41693,13.8,0,0
41695,10.860805387276075,4,5
41696,13.14922900936169,1,2
41698,13.8,0,6
41701,12.804875891454154,2,0
41702,9.462953435380172,2,1
41705,7.5813644077819715,1,4
41707,11.317040961531216,2,2
41708,9.92715903124954,2,0
41712,12.55480493374341,5,3
41715,12.361172370658442,7,3
41718,11.007950132808553,3,4
41720,13.8,0,0
41721,5.61056555205565,7,6
41726,13.8,0,1
41729,10.860805387276075,4,2
41735,13.8,0,5
41737,12.804875891454154,3,4
41740,12.361172370658442,2,2
41743,12.182845139342968,1,2
41745,12.259335340432736,1,5
41747,9.155686374365665,7,0
41752,13.230111772921886,1,5
41753,11.56482052958491,4,4
41755,11.472636476156389,4,1
41756,13.8,0,0
41757,10.228946019806829,7,4
41766,10.860805387276075,2,2
41771,13.8,0,0
41774,11.903627662592406,2,0
41780,13.8,0,0
41796,8.688041270237905,9,2
41798,13.8,0,0
41802,13.198853574391512,2,3
52618,6.511025527436423,2,7
52619,1.4173900744546557,4,1
52620,10.083061130481992,5,5
52621,8.06560019250075,7,7
52622,1.2972064222772546,3,4
52623,12.361172370658442,3,7
52624,0.9266483383810105,3,3
52625,3.9566148760250575,2,3
52626,7.950232596370229,7,4
52627,13.8,0,0
52628,11.766835879457043,3,2
52629,4.126382949614405,3,7
52630,8.688041270237905,3,2
52631,4.126382949614405,4,1
52632,9.92715903124954,5,2
52633,11.164723670049518,4,7
52634,12.259335340432736,3,8
52635,12.031032769266922,4,4
52636,12.55480493374341,3,5
52637,12.804875891454154,1,5
52638,6.343349487178175,6,6
52639,8.06560019250075,7,0
52640,12.804875891454154,2,5
52641,12.361172370658442,2,4
52642,12.259335340432736,6,2
52643,8.841999739310916,7,2
52644,7.314853196564868,9,1
52645,6.829554589521826,3,7
52646,12.804875891454154,5,4
52647,10.71425401075792,5,4
52648,12.031032769266922,4,10
52649,9.017171205041503,3,4
52650,12.361172370658442,2,4
52651,8.356294756117382,8,5
52652,11.164723670049518,6,3
52653,11.766835879457043,1,3
52654,12.698000090258518,8,2
52655,7.450283783623472,5,3
52656,13.104017017822397,2,0
52657,9.92715903124954,3,2
52659,9.78178393942305,4,2
52660,9.155686374365665,3,1
52661,6.98087446663476,3,4
52662,12.894981355405132,1,0
52663,12.62066479053492,7,8
52664,1.2972064222772546,3,1
52665,8.21393431111962,1,4
52666,11.007950132808553,1,1
52667,7.5813644077819715,3,4
52668,12.55480493374341,3,4
52669,11.317040961531216,3,2
52670,12.031032769266922,3,6
52671,12.804875891454154,1,2
52672,6.98087446663476,5,1
52673,13.056632387368863,2,0
52675,11.317040961531216,3,1
52676,13.8,0,3
52677,11.007950132808553,1,1
52678,3.1365850089211675,5,1
52679,12.55480493374341,4,5
52680,11.903627662592406,2,3
52681,12.698000090258518,4,4
52684,12.031032769266922,1,1
52686,12.698000090258518,3,0
52687,9.92715903124954,4,4
52689,9.92715903124954,7,2
52690,12.259335340432736,1,1
52692,9.462953435380172,3,5
52693,9.155686374365665,3,6
52694,9.017171205041503,3,1
52695,12.55480493374341,6,1
52696,9.78178393942305,2,3
52698,10.71425401075792,6,3
52701,11.007950132808553,3,3
52702,12.894981355405132,4,2
52704,13.198853574391512,1,1
52705,9.017171205041503,2,3
52717,9.017171205041503,2,0
52718,12.55480493374341,1,2
52769,13.8,0,0
60731,7.314853196564868,3,3
60732,1.6529178379808374,8,3
60733,10.398502407966777,7,4
60734,6.829554589521826,13,5
60735,9.155686374365665,7,6
60736,0.001,12,7
60737,7.1271910119321165,4,8
60738,11.56482052958491,2,10
60739,12.031032769266922,5,5
60740,3.420547659840111,5,8
60741,10.555201291724902,8,3
60742,11.903627662592406,5,8
60743,9.462953435380172,3,5
60744,0.001,4,6
60745,8.06560019250075,6,6
60746,13.27352288733255,1,3
60747,10.228946019806829,7,10
60748,4.453332039958986,2,3
60749,12.259335340432736,4,12
60750,5.740039501884972,7,3
60751,11.164723670049518,7,4
60752,12.445128288561726,5,6
60753,12.894981355405132,6,10
60754,10.860805387276075,3,4
60755,12.977660855576495,1,2
60756,12.445128288561726,2,5
60757,13.010124756583883,3,2
60758,10.083061130481992,6,2
60759,12.55480493374341,3,1
60760,13.056632387368863,3,4
60761,10.71425401075792,4,4
60762,12.698000090258518,2,2
60763,12.804875891454154,2,1
60764,13.056632387368863,3,1
60765,12.62066479053492,2,2
60766,8.559304846246299,4,4
60767,8.688041270237905,3,6
60768,5.410432554332628,4,0
60769,10.083061130481992,5,3
60770,1.7683145868784629,2,2
60771,11.56482052958491,2,2
60772,7.950232596370229,3,1
60773,11.56482052958491,2,4
60774,13.056632387368863,2,2
60775,9.92715903124954,6,4
60776,4.61076233003753,5,1
60777,13.198853574391512,1,1
60778,12.259335340432736,3,0
60779,0.7996985537050032,6,1
60780,9.78178393942305,3,1
60781,12.804875891454154,2,6
60782,8.841999739310916,7,0
60783,13.230111772921886,2,0
60784,12.804875891454154,1,2
60785,12.804875891454154,3,1
60786,12.445128288561726,1,2
60789,7.950232596370229,2,3
60790,13.104017017822397,1,1
60792,13.010124756583883,2,3
60794,12.804875891454154,1,3
60795,11.766835879457043,3,4
60798,12.259335340432736,2,3
60799,10.555201291724902,4,0
60801,12.361172370658442,3,2
60803,12.361172370658442,1,2
60805,4.291913083776049,7,3
60808,11.903627662592406,6,6
60818,13.8,0,0
60819,9.389280682850277,3,5
60820,12.62066479053492,2,2
60822,12.977660855576495,2,5
60823,12.977660855576495,1,2
60825,9.389280682850277,5,3
60829,12.894981355405132,5,2
60841,13.8,0,0
60843,10.228946019806829,5,1
60845,12.259335340432736,2,2
60847,10.398502407966777,6,4
60855,13.8,0,0
60861,13.8,0,0
60883,12.977660855576495,4,3
60893,12.698000090258518,5,0
69507,3.870100791557793,9,10
69508,8.356294756117382,6,5
69509,6.98087446663476,4,2
69510,10.71425401075792,3,6
69511,10.398502407966777,2,4
69512,13.230111772921886,3,6
69513,12.182845139342968,2,3
69514,11.903627662592406,6,3
69515,11.164723670049518,4,1
69516,8.356294756117382,5,7
69517,4.453332039958986,2,4
69518,12.259335340432736,2,4
69519,13.198853574391512,1,5
69520,11.56482052958491,8,4
69521,9.389280682850277,4,6
69522,12.894981355405132,1,4
69523,12.031032769266922,5,5
69524,13.198853574391512,1,4
69525,10.555201291724902,4,4
69526,10.398502407966777,3,1
69527,11.317040961531216,3,3
69528,13.010124756583883,2,6
69529,9.155686374365665,5,5
69530,12.894981355405132,2,1
69531,12.445128288561726,5,2
69532,12.894981355405132,3,4
69533,12.445128288561726,2,2
69534,13.8,0,2
69535,6.2282824636046845,5,5
69536,5.61056555205565,3,3
69537,8.841999739310916,7,0
69538,4.453332039958986,4,1
69539,13.8,0,0
69540,12.031032769266922,2,3
69541,11.903627662592406,11,9
69542,11.317040961531216,4,3
69543,10.228946019806829,1,4
69544,11.317040961531216,5,1
69545,12.361172370658442,2,4
69546,10.555201291724902,4,2
69547,8.356294756117382,6,1
69548,11.766835879457043,3,1
69549,11.903627662592406,1,2
69551,13.8,0,2
69552,12.445128288561726,1,2
69553,11.164723670049518,2,4
69554,10.71425401075792,2,0
69555,13.8,0,3
69556,12.259335340432736,3,1
69557,6.98087446663476,3,3
