Galaxy ID,Stellar Mass [Mo],g band,r band,Probability is spiral
152045,14207419000.0,-19.19469,-19.86967,0.14026406407356262
152046,13941131000.0,-19.291414,-19.90852,0.4685923457145691
152047,9258585000.0,-18.197428,-18.936316,0.5230149626731873
152048,7553200600.0,-18.147806,-18.88174,0.37675005197525024
152049,3901376500.0,-18.70745,-19.136978,0.5690242648124695
152050,13406648000.0,-18.675642,-19.441513,0.2750430107116699
152051,13503633000.0,-18.500397,-19.286337,0.2855519652366638
152052,8660017000.0,-18.332594,-19.004637,0.9499865770339966
152054,12907467000.0,-18.801779,-19.55373,0.11231151223182678
152055,7543051000.0,-18.010582,-18.768343,0.37761175632476807
152056,6959481000.0,-18.206512,-18.890276,0.31004026532173157
152057,3509017900.0,-17.508709,-18.2236,0.5806556344032288
152058,7919838700.0,-18.881456,-19.459118,0.3945801258087158
152059,3208517400.0,-17.271187,-17.997969,0.8097637295722961
152060,4689340000.0,-17.583467,-18.329094,0.8823724985122681
152061,7084852000.0,-17.944101,-18.7174,0.008715957403182983
152062,4900941300.0,-17.749378,-18.484804,0.2471359372138977
152063,3739931600.0,-17.980608,-18.61795,0.9368994235992432
152065,3910643200.0,-18.119562,-18.69848,0.7237473726272583
152068,3278839000.0,-17.57871,-18.266802,0.45861905813217163
152071,3830110500.0,-17.538925,-18.214378,0.39625194668769836
152073,4605586000.0,-17.675438,-18.404696,0.4356693625450134
154493,836577260000.0,-22.080011,-22.899237,0.005396783351898193
154494,306619000000.0,-21.723143,-22.36678,0.9755333662033081
154495,53833114000.0,-20.512075,-21.078218,0.9997632503509521
154496,33800806000.0,-20.757164,-21.17629,0.9973182678222656
154497,32651258000.0,-20.03247,-20.589714,0.8782837390899658
154498,16710943000.0,-19.180067,-19.879267,0.2219853401184082
154499,26947398000.0,-19.203604,-19.996202,0.09512075781822205
154500,25814155000.0,-19.675816,-20.295498,0.45948272943496704
154501,13303137000.0,-18.777227,-19.492794,0.35815924406051636
154502,8151555000.0,-18.83646,-19.367935,0.6478754878044128
154503,8202057700.0,-18.15194,-18.907356,0.2687712013721466
154504,5806095000.0,-18.311518,-18.886263,0.4010683596134186
154505,17737730000.0,-18.758755,-19.554558,0.2020009160041809
154506,13652003000.0,-18.4995,-19.292696,0.3212119936943054
154507,6055992300.0,-18.022085,-18.746965,0.9904377460479736
154510,5858648600.0,-17.725777,-18.485601,0.45203447341918945
154511,7040512000.0,-18.135355,-18.879065,0.39330023527145386
154513,8742222000.0,-17.956478,-18.762575,0.43754708766937256
154516,7201304600.0,-17.717098,-18.521519,0.3697754442691803
154517,7258940400.0,-17.797865,-18.592373,0.4387963116168976
154519,5803837400.0,-17.702234,-18.472784,0.5182843804359436
154522,3974259700.0,-17.46272,-18.192001,0.6022894382476807
154524,5674766300.0,-17.858372,-18.650131,0.5428212881088257
156809,873106000000.0,-22.195581,-23.007206,0.4176856279373169
156810,137303370000.0,-20.889965,-21.62213,0.6281346082687378
156811,90839740000.0,-20.439245,-21.236616,0.013447284698486328
156812,80387285000.0,-20.319855,-21.111607,0.008945673704147339
156813,47723295000.0,-19.901579,-20.686459,0.07711607217788696
156814,39132640000.0,-19.821875,-20.587265,0.09801462292671204
156815,18767016000.0,-19.6447,-20.193245,0.5012227892875671
156816,31741905000.0,-20.015959,-20.566904,0.16804179549217224
156817,35227517000.0,-19.500637,-20.30677,0.1909218728542328
156818,3090648000.0,-18.766394,-19.040716,0.7569118738174438
156819,26908041000.0,-18.955887,-19.79807,0.3123384714126587
156820,18187583000.0,-20.009544,-20.416239,0.5986952185630798
156821,26186424000.0,-19.829058,-20.564533,0.4062405228614807
156822,6388208000.0,-18.29141,-18.904972,0.48706328868865967
156823,15654745000.0,-18.58686,-19.381853,0.39708366990089417
156824,6508009500.0,-18.875296,-19.378784,0.42950206995010376
156825,10517160000.0,-18.223959,-19.009018,0.2831396460533142
156827,6197708000.0,-17.850658,-18.597488,0.7744039297103882
156828,3044724500.0,-18.196758,-18.63902,0.6381054520606995
156830,3206111200.0,-17.777798,-18.423199,0.6100679039955139
156831,7277822500.0,-18.002249,-18.76331,0.5623869895935059
156832,5303886300.0,-17.641254,-18.392174,0.9751338958740234
156838,3854547200.0,-19.507807,-19.628696,0.5008221864700317
156841,4587793000.0,-17.06502,-17.898705,0.4584905505180359
158847,561265200000.0,-22.14367,-22.759462,0.9980040192604065
158848,86804005000.0,-20.227797,-21.030977,0.036451876163482666
158849,50833023000.0,-19.813643,-20.599855,0.11432886123657227
158850,79597830000.0,-20.47749,-21.267805,0.4168236255645752
158851,9180816000.0,-20.10505,-20.371773,0.9855618476867676
158852,48765366000.0,-19.97285,-20.755424,0.2377079427242279
158853,25854325000.0,-19.623453,-20.33292,0.5612884759902954
158854,28495990000.0,-19.92102,-20.54559,0.43448764085769653
158855,43119640000.0,-19.95661,-20.733961,0.5164151191711426
158857,3262723300.0,-19.009428,-19.290485,0.9896342158317566
158858,28138957000.0,-19.7766,-20.40997,0.5509264469146729
158859,3824428800.0,-18.713158,-19.075333,0.7251150608062744
158861,12257459000.0,-19.100965,-19.657564,0.35186100006103516
158862,14971393000.0,-18.733452,-19.503353,0.31850534677505493
158863,17048794000.0,-18.742392,-19.531916,0.12638679146766663
158864,5102724600.0,-17.817293,-18.544085,0.8357155323028564
158865,9224426000.0,-18.575525,-19.297586,0.48434194922447205
158866,9569436000.0,-18.253563,-19.010136,0.3153861165046692
158868,8798920000.0,-18.519463,-19.202148,0.12867310643196106
158869,8672810000.0,-18.349,-19.08569,0.5700849890708923
158870,3330655200.0,-18.68247,-19.02587,0.802217423915863
158871,3149289200.0,-18.193844,-18.622324,0.5090516209602356
158872,9173738000.0,-18.35256,-19.104748,0.4557383954524994
158873,7045762000.0,-18.213558,-18.942513,0.38949885964393616
158876,6879851500.0,-17.891697,-18.654106,0.7811535596847534
